id,loan_amount,instalment,expected_revenue,total_payment,loss
Summary,,,"Total Expected Loss: $28,885,826.94",,
7355517,8000,277.72,9997.920000000002,39.489150150664535,9958.430849849337
7355327,12000,387.15,13937.4,40.43654993007088,13896.963450069929
7345450,22000,808.66,29111.76,67.68296233949624,29044.077037660503
7345361,15000,351.37,21082.2,45.9425613798191,21036.25743862018
7342489,6100,209.38,7537.68,42.24934893974089,7495.430651060259
7342254,19750,736.0,26496.0,63.53963689715954,26432.46036310284
7341340,6000,214.22,7711.92,35.11554000464663,7676.804459995354
7341144,11100,388.11,13971.960000000001,50.3690624193932,13921.590937580608
7340649,10000,347.15,12497.4,44.757589132599406,12452.6424108674
7339190,15000,390.77,23446.199999999997,51.3666442426379,23394.83335575736
7339016,23500,593.69,35621.4,61.048901165499885,35560.3510988345
7338541,17475,486.63,29197.8,56.225275404809686,29141.57472459519
7338327,35000,871.73,52303.8,64.90970634465596,52238.89029365535
9795476,8000,290.23,10448.28,43.940629936442015,10404.339370063559
7337192,19200,553.24,33194.4,45.69086981395994,33148.70913018604
7335553,28000,885.19,31866.840000000004,56.9617082230763,31809.878291776928
7335029,25000,622.66,37359.6,51.9766554518088,37307.62334454819
7334848,6000,196.41,7070.76,40.63940256419211,7030.120597435808
7334581,26000,762.99,45779.4,42.82156296375991,45736.57843703624
7325239,20500,435.47,26128.2,49.40801565852429,26078.791984341475
7314645,15000,581.43,20931.48,53.30267087919375,20878.177329120805
7306868,4500,147.31,5303.16,25.453938780324,5277.706061219676
7306474,16000,374.79,22487.4,48.87524102697744,22438.524758973024
7297069,5000,173.58,6248.88,36.83629001870963,6212.043709981291
7296983,14825,380.91,13712.76,41.558086154488656,13671.20191384551
7294652,7775,283.24,10196.64,46.061420349695744,10150.578579650304
7286854,28000,697.38,41842.8,43.78552834260082,41799.0144716574
7285932,10000,376.76,13563.36,47.04229634857146,13516.31770365143
7285549,8800,320.58,11540.88,33.50126876890691,11507.378731231092
7285412,13000,431.73,15542.28,45.916339569158666,15496.363660430841
7285298,17475,563.79,20296.44,51.531224006007264,20244.90877599399
7276410,16100,594.41,21398.76,52.46847251414838,21346.29152748585
7276350,6000,218.58,7868.88,42.87376820216362,7826.006231797836
7274725,35000,1304.3,46954.799999999996,78.11614079199049,46876.683859208
7266387,12000,408.22,14695.920000000002,41.18806555060375,14654.731934449399
7266151,12000,286.11,17166.600000000002,41.894213170762406,17124.70578682924
7265268,10000,360.33,12971.88,50.81133988511827,12921.068660114881
7184594,10000,362.78,13060.079999999998,42.10553594387644,13017.974464056122
7174575,10625,368.84,13278.24,39.777783506283775,13238.462216493715
7104379,16000,514.1,18507.600000000002,51.13286996264907,18456.467130037352
7101360,10000,330.0,11880.0,47.67042159475475,11832.329578405246
7100764,18000,527.17,31630.199999999997,61.23274236124975,31568.967257638746
7099941,10400,272.77,16366.199999999999,44.685523058659,16321.51447694134
7099276,5700,190.28,6850.08,33.699201106713666,6816.380798893286
7097949,7200,265.83,9569.88,45.07727360230695,9524.802726397693
7097490,20000,590.32,35419.200000000004,61.83748338768941,35357.36251661232
7097383,6200,210.91,7592.76,44.13286854276826,7548.627131457232
7096856,8725,257.53,15451.8,43.82041267821452,15407.979587321784
7096755,10000,280.19,16811.4,45.89214886451799,16765.507851135484
7096121,24375,504.81,30288.6,57.80134415478823,30230.79865584521
7096060,27300,728.01,26208.36,56.54243481311683,26151.817565186884
7094777,22250,521.54,31292.399999999998,58.443506620197184,31233.9564933798
7094263,8000,278.19,10014.84,45.78046835640106,9969.0595316436
7093871,12000,408.27,14697.72,50.31145350010807,14647.408546499892
7092892,11000,374.25,13473.0,39.97803337686318,13433.021966623137
7092311,10375,337.9,12164.4,48.89580006471455,12115.504199935285
7090859,16800,584.19,21030.840000000004,41.21338627291345,20989.62661372709
7090233,12000,291.06,17463.6,43.0738084349477,17420.52619156505
7089396,12000,390.83,14069.88,53.84534089427999,14016.034659105719
7088967,25000,618.37,37102.2,31.30837675832028,37070.891623241674
7088790,12000,385.58,13880.88,52.80468340320537,13828.075316596794
7088749,6000,204.14,7349.039999999999,35.50934654955716,7313.530653450442
7088747,6000,219.49,7901.64,29.33692443637043,7872.30307556363
7088488,30000,894.67,53680.2,53.755980936445546,53626.44401906355
7088403,25000,622.66,37359.6,53.296632725265496,37306.30336727473
7087550,12400,418.11,15051.960000000001,47.67480833429157,15004.28519166571
7087059,18825,561.74,33704.4,53.838375179842224,33650.56162482016
7086706,8725,280.35,10092.6,39.617229020973625,10052.982770979026
7086517,12000,400.59,14421.24,44.753108276752485,14376.486891723247
7085872,10000,321.32,11567.52,48.071288376354,11519.448711623647
7084967,25000,560.55,33633.0,47.40350127589693,33585.5964987241
7084784,7200,242.77,8739.720000000001,37.69927207082191,8702.020727929179
7083903,19200,640.93,23073.48,35.06011020221157,23038.419889797788
7083241,25000,922.99,33227.64,38.00990957640872,33189.63009042359
7081053,10000,239.06,14343.6,43.475962043484216,14300.124037956517
7080925,18000,586.24,21104.64,56.83006820732668,21047.80993179267
7080188,27575,772.61,46356.6,65.63910563529585,46290.9608943647
8666987,8325,316.65,11399.4,37.745191833908336,11361.654808166091
7079544,9000,312.96,11266.56,29.49901087418078,11237.06098912582
